Serial Data Number,Serial Sheet Number,JIS Code,EBCDIC Code,4 Character Code,Evaluation of Individual Character Image,Evaluation of Character Group,Sample Position Y on Sheet,Sample Position X on Sheet,Male-Female Code,Age of Writer,Industry Classification Code,Occupation Classification Code,Sheet Gatherring Date,Scanning Date,Number of X-Axis Sampling Points,Number of Y-Axis Sampling Points,Number of Levels of Pixel,Magnification of Scanning Lenz,Serial Data Number (old)
500118,5001,c3,94,H TE,0,0,2,8,1,23,9144,11,741202,741216,72,76,16,133,0
500119,5001,c4,95,H TO,0,0,2,9,1,23,9144,11,741202,741216,72,76,16,133,0
500120,5001,c5,96,H NA,0,0,3,0,1,23,9144,11,741202,741216,72,76,16,133,0
500121,5001,c6,97,H NI,0,0,3,1,1,23,9144,11,741202,741216,72,76,16,133,0
500122,5001,c7,98,H NU,0,0,3,2,1,23,9144,11,741202,741216,72,76,16,133,0
500123,5001,c8,99,H NE,0,0,3,3,1,23,9144,11,741202,741216,72,76,16,133,0
500124,5001,c9,9a,H NO,0,0,3,4,1,23,9144,11,741202,741216,72,76,16,133,0
500125,5001,ca,9d,H HA,0,0,3,5,1,23,9144,11,741202,741216,72,76,16,133,0
500126,5001,cb,9e,H HI,0,0,3,6,1,23,9144,11,741202,741216,72,76,16,133,0
500127,5001,cc,9f,H HU,0,0,3,7,1,23,9144,11,741202,741216,72,76,16,133,0
500128,5001,cd,a2,H HE,0,0,3,8,1,23,9144,11,741202,741216,72,76,16,133,0
500129,5001,ce,a3,H HO,0,0,3,9,1,23,9144,11,741202,741216,72,76,16,133,0
500130,5001,cf,a4,H MA,0,0,4,0,1,23,9144,11,741202,741216,72,76,16,133,0
500131,5001,d0,a5,H MI,0,0,4,1,1,23,9144,11,741202,741216,72,76,16,133,0
500132,5001,d1,a6,H MU,0,0,4,2,1,23,9144,11,741202,741216,72,76,16,133,0
500133,5001,d2,a7,H ME,0,0,4,3,1,23,9144,11,741202,741216,72,76,16,133,0
500134,5001,d3,a8,H MO,0,0,4,4,1,23,9144,11,741202,741216,72,76,16,133,0
500135,5001,d4,a9,H YA,0,0,4,5,1,23,9144,11,741202,741216,72,76,16,133,0
500136,5001,b2,82,H YI,0,0,4,6,1,23,9144,11,741202,741216,72,76,16,133,0
500137,5001,d5,aa,H YU,0,0,4,7,1,23,9144,11,741202,741216,72,76,16,133,0
500138,5001,b4,84,H YE,0,0,4,8,1,23,9144,11,741202,741216,72,76,16,133,0
500139,5001,d6,ac,H YO,0,0,4,9,1,23,9144,11,741202,741216,72,76,16,133,0
500140,5001,d7,ad,H RA,0,0,5,0,1,23,9144,11,741202,741216,72,76,16,133,0
500141,5001,d8,ae,H RI,0,0,5,1,1,23,9144,11,741202,741216,72,76,16,133,0
500142,5001,d9,af,H RU,0,0,5,2,1,23,9144,11,741202,741216,72,76,16,133,0
500143,5001,da,ba,H RE,0,0,5,3,1,23,9144,11,741202,741216,72,76,16,133,0
500144,5001,db,bb,H RO,0,0,5,4,1,23,9144,11,741202,741216,72,76,16,133,0
500145,5001,dc,bc,H WA,0,0,5,5,1,23,9144,11,741202,741216,72,76,16,133,0
500146,5001,a8,7b,H WI,0,0,5,6,1,23,9144,11,741202,741216,72,76,16,133,0
500147,5001,b3,83,H WU,0,0,5,7,1,23,9144,11,741202,741216,72,76,16,133,0
500148,5001,aa,7a,H WE,0,0,5,8,1,23,9144,11,741202,741216,72,76,16,133,0
500149,5001,a6,6f,H WO,0,0,5,9,1,23,9144,11,741202,741216,72,76,16,133,0
500150,5001,dd,bd,H  N,0,0,6,0,1,23,9144,11,741202,741216,72,76,16,133,0
500151,5002,b1,81,H  A,0,0,1,0,1,57,9144,11,741202,741216,72,76,16,133,0
500152,5002,b2,82,H  I,0,0,1,1,1,57,9144,11,741202,741216,72,76,16,133,0
500153,5002,b3,83,H  U,0,0,1,2,1,57,9144,11,741202,741216,72,76,16,133,0
500154,5002,b4,84,H  E,0,0,1,3,1,57,9144,11,741202,741216,72,76,16,133,0
500155,5002,b5,85,H  O,0,0,1,4,1,57,9144,11,741202,741216,72,76,16,133,0
500156,5002,b6,86,H KA,0,0,1,5,1,57,9144,11,741202,741216,72,76,16,133,0
500157,5002,b7,87,H KI,0,0,1,6,1,57,9144,11,741202,741216,72,76,16,133,0
500158,5002,b8,88,H KU,0,0,1,7,1,57,9144,11,741202,741216,72,76,16,133,0
500159,5002,b9,89,H KE,0,0,1,8,1,57,9144,11,741202,741216,72,76,16,133,0
500160,5002,ba,8a,H KO,0,0,1,9,1,57,9144,11,741202,741216,72,76,16,133,0
500161,5002,bb,8c,H SA,0,0,2,0,1,57,9144,11,741202,741216,72,76,16,133,0
500162,5002,bc,8d,H SI,0,0,2,1,1,57,9144,11,741202,741216,72,76,16,133,0
500163,5002,bd,8e,H SU,0,0,2,2,1,57,9144,11,741202,741216,72,76,16,133,0
500164,5002,be,ef,H SE,0,0,2,3,1,57,9144,11,741202,741216,72,76,16,133,0
500165,5002,bf,90,H SO,0,0,2,4,1,57,9144,11,741202,741216,72,76,16,133,0
500166,5002,c0,91,H TA,0,0,2,5,1,57,9144,11,741202,741216,72,76,16,133,0
500167,5002,c1,92,H TI,0,0,2,6,1,57,9144,11,741202,741216,72,76,16,133,0
500168,5002,c2,93,H TU,0,0,2,7,1,57,9144,11,741202,741216,72,76,16,133,0
500169,5002,c3,94,H TE,0,0,2,8,1,57,9144,11,741202,741216,72,76,16,133,0
500170,5002,c4,95,H TO,0,0,2,9,1,57,9144,11,741202,741216,72,76,16,133,0
500171,5002,c5,96,H NA,0,0,3,0,1,57,9144,11,741202,741216,72,76,16,133,0
500172,5002,c6,97,H NI,0,0,3,1,1,57,9144,11,741202,741216,72,76,16,133,0
500173,5002,c7,98,H NU,0,0,3,2,1,57,9144,11,741202,741216,72,76,16,133,0
500174,5002,c8,99,H NE,0,0,3,3,1,57,9144,11,741202,741216,72,76,16,133,0
500175,5002,c9,9a,H NO,0,0,3,4,1,57,9144,11,741202,741216,72,76,16,133,0
500176,5002,ca,9d,H HA,0,0,3,5,1,57,9144,11,741202,741216,72,76,16,133,0
500177,5002,cb,9e,H HI,0,0,3,6,1,57,9144,11,741202,741216,72,76,16,133,0
500178,5002,cc,9f,H HU,0,0,3,7,1,57,9144,11,741202,741216,72,76,16,133,0
500179,5002,cd,a2,H HE,0,0,3,8,1,57,9144,11,741202,741216,72,76,16,133,0
500180,5002,ce,a3,H HO,0,0,3,9,1,57,9144,11,741202,741216,72,76,16,133,0
500181,5002,cf,a4,H MA,0,0,4,0,1,57,9144,11,741202,741216,72,76,16,133,0
500182,5002,d0,a5,H MI,0,0,4,1,1,57,9144,11,741202,741216,72,76,16,133,0
500183,5002,d1,a6,H MU,0,0,4,2,1,57,9144,11,741202,741216,72,76,16,133,0
500184,5002,d2,a7,H ME,0,0,4,3,1,57,9144,11,741202,741216,72,76,16,133,0
500185,5002,d3,a8,H MO,0,0,4,4,1,57,9144,11,741202,741216,72,76,16,133,0
500186,5002,d4,a9,H YA,0,0,4,5,1,57,9144,11,741202,741216,72,76,16,133,0
500187,5002,b2,82,H YI,0,0,4,6,1,57,9144,11,741202,741216,72,76,16,133,0
500188,5002,d5,aa,H YU,0,0,4,7,1,57,9144,11,741202,741216,72,76,16,133,0
500189,5002,b4,84,H YE,0,0,4,8,1,57,9144,11,741202,741216,72,76,16,133,0
500190,5002,d6,ac,H YO,0,0,4,9,1,57,9144,11,741202,741216,72,76,16,133,0
500191,5002,d7,ad,H RA,0,0,5,0,1,57,9144,11,741202,741216,72,76,16,133,0
500192,5002,d8,ae,H RI,0,0,5,1,1,57,9144,11,741202,741216,72,76,16,133,0
500193,5002,d9,af,H RU,0,0,5,2,1,57,9144,11,741202,741216,72,76,16,133,0
500194,5002,da,ba,H RE,0,0,5,3,1,57,9144,11,741202,741216,72,76,16,133,0
500195,5002,db,bb,H RO,0,0,5,4,1,57,9144,11,741202,741216,72,76,16,133,0
500196,5002,dc,bc,H WA,0,0,5,5,1,57,9144,11,741202,741216,72,76,16,133,0
500197,5002,a8,7b,H WI,0,0,5,6,1,57,9144,11,741202,741216,72,76,16,133,0
500198,5002,b3,83,H WU,0,0,5,7,1,57,9144,11,741202,741216,72,76,16,133,0
500199,5002,aa,7a,H WE,0,0,5,8,1,57,9144,11,741202,741216,72,76,16,133,0
500200,5002,a6,6f,H WO,0,0,5,9,1,57,9144,11,741202,741216,72,76,16,133,0
500201,5002,dd,bd,H  N,0,0,6,0,1,57,9144,11,741202,741216,72,76,16,133,0
500202,5003,b1,81,H  A,0,0,1,0,1,22,9144,11,741202,741216,72,76,16,133,0
500203,5003,b2,82,H  I,0,0,1,1,1,22,9144,11,741202,741216,72,76,16,133,0
500204,5003,b3,83,H  U,0,0,1,2,1,22,9144,11,741202,741216,72,76,16,133,0
500205,5003,b4,84,H  E,0,0,1,3,1,22,9144,11,741202,741216,72,76,16,133,0
500206,5003,b5,85,H  O,0,0,1,4,1,22,9144,11,741202,741216,72,76,16,133,0
500207,5003,b6,86,H KA,0,0,1,5,1,22,9144,11,741202,741216,72,76,16,133,0
500208,5003,b7,87,H KI,0,0,1,6,1,22,9144,11,741202,741216,72,76,16,133,0
500209,5003,b8,88,H KU,0,0,1,7,1,22,9144,11,741202,741216,72,76,16,133,0
500210,5003,b9,89,H KE,0,0,1,8,1,22,9144,11,741202,741216,72,76,16,133,0
500211,5003,ba,8a,H KO,0,0,1,9,1,22,9144,11,741202,741216,72,76,16,133,0
500212,5003,bb,8c,H SA,0,0,2,0,1,22,9144,11,741202,741216,72,76,16,133,0
500213,5003,bc,8d,H SI,0,0,2,1,1,22,9144,11,741202,741216,72,76,16,133,0
500214,5003,bd,8e,H SU,0,0,2,2,1,22,9144,11,741202,741216,72,76,16,133,0
500215,5003,be,ef,H SE,0,0,2,3,1,22,9144,11,741202,741216,72,76,16,133,0
500216,5003,bf,90,H SO,0,0,2,4,1,22,9144,11,741202,741216,72,76,16,133,0
500217,5003,c0,91,H TA,0,0,2,5,1,22,9144,11,741202,741216,72,76,16,133,0
500218,5003,c1,92,H TI,0,0,2,6,1,22,9144,11,741202,741216,72,76,16,133,0
500219,5003,c2,93,H TU,0,0,2,7,1,22,9144,11,741202,741216,72,76,16,133,0
500220,5003,c3,94,H TE,0,0,2,8,1,22,9144,11,741202,741216,72,76,16,133,0
500221,5003,c4,95,H TO,0,0,2,9,1,22,9144,11,741202,741216,72,76,16,133,0
500222,5003,c5,96,H NA,0,0,3,0,1,22,9144,11,741202,741216,72,76,16,133,0
500223,5003,c6,97,H NI,0,0,3,1,1,22,9144,11,741202,741216,72,76,16,133,0
500224,5003,c7,98,H NU,0,0,3,2,1,22,9144,11,741202,741216,72,76,16,133,0
500225,5003,c8,99,H NE,0,0,3,3,1,22,9144,11,741202,741216,72,76,16,133,0
500226,5003,c9,9a,H NO,0,0,3,4,1,22,9144,11,741202,741216,72,76,16,133,0
500227,5003,ca,9d,H HA,0,0,3,5,1,22,9144,11,741202,741216,72,76,16,133,0
500228,5003,cb,9e,H HI,0,0,3,6,1,22,9144,11,741202,741216,72,76,16,133,0
500229,5003,cc,9f,H HU,0,0,3,7,1,22,9144,11,741202,741216,72,76,16,133,0
500230,5003,cd,a2,H HE,0,0,3,8,1,22,9144,11,741202,741216,72,76,16,133,0
500231,5003,ce,a3,H HO,0,0,3,9,1,22,9144,11,741202,741216,72,76,16,133,0
500232,5003,cf,a4,H MA,0,0,4,0,1,22,9144,11,741202,741216,72,76,16,133,0
500233,5003,d0,a5,H MI,0,0,4,1,1,22,9144,11,741202,741216,72,76,16,133,0
500234,5003,d1,a6,H MU,0,0,4,2,1,22,9144,11,741202,741216,72,76,16,133,0
500235,5003,d2,a7,H ME,0,0,4,3,1,22,9144,11,741202,741216,72,76,16,133,0
500236,5003,d3,a8,H MO,0,0,4,4,1,22,9144,11,741202,741216,72,76,16,133,0
500237,5003,d4,a9,H YA,0,0,4,5,1,22,9144,11,741202,741216,72,76,16,133,0
500238,5003,b2,82,H YI,0,0,4,6,1,22,9144,11,741202,741216,72,76,16,133,0
500239,5003,d5,aa,H YU,0,0,4,7,1,22,9144,11,741202,741216,72,76,16,133,0
500240,5003,b4,84,H YE,0,0,4,8,1,22,9144,11,741202,741216,72,76,16,133,0
500241,5003,d6,ac,H YO,0,0,4,9,1,22,9144,11,741202,741216,72,76,16,133,0
500242,5003,d7,ad,H RA,0,0,5,0,1,22,9144,11,741202,741216,72,76,16,133,0
500243,5003,d8,ae,H RI,0,0,5,1,1,22,9144,11,741202,741216,72,76,16,133,0
500244,5003,d9,af,H RU,0,0,5,2,1,22,9144,11,741202,741216,72,76,16,133,0
500245,5003,da,ba,H RE,0,0,5,3,1,22,9144,11,741202,741216,72,76,16,133,0
500246,5003,db,bb,H RO,0,0,5,4,1,22,9144,11,741202,741216,72,76,16,133,0
500247,5003,dc,bc,H WA,0,0,5,5,1,22,9144,11,741202,741216,72,76,16,133,0
500248,5003,a8,7b,H WI,0,0,5,6,1,22,9144,11,741202,741216,72,76,16,133,0
500249,5003,b3,83,H WU,0,0,5,7,1,22,9144,11,741202,741216,72,76,16,133,0
500250,5003,aa,7a,H WE,0,0,5,8,1,22,9144,11,741202,741216,72,76,16,133,0
500251,5003,a6,6f,H WO,0,0,5,9,1,22,9144,11,741202,741216,72,76,16,133,0
500252,5003,dd,bd,H  N,0,0,6,0,1,22,9144,11,741202,741216,72,76,16,133,0
500253,5004,b1,81,H  A,0,0,1,0,1,27,9144,11,741202,741216,72,76,16,133,0
500254,5004,b2,82,H  I,0,0,1,1,1,27,9144,11,741202,741216,72,76,16,133,0
500255,5004,b3,83,H  U,0,0,1,2,1,27,9144,11,741202,741216,72,76,16,133,0
500256,5004,b4,84,H  E,0,0,1,3,1,27,9144,11,741202,741216,72,76,16,133,0
500257,5004,b5,85,H  O,0,0,1,4,1,27,9144,11,741202,741216,72,76,16,133,0
500258,5004,b6,86,H KA,0,0,1,5,1,27,9144,11,741202,741216,72,76,16,133,0
500259,5004,b7,87,H KI,0,0,1,6,1,27,9144,11,741202,741216,72,76,16,133,0
500260,5004,b8,88,H KU,0,0,1,7,1,27,9144,11,741202,741216,72,76,16,133,0
500261,5004,b9,89,H KE,0,0,1,8,1,27,9144,11,741202,741216,72,76,16,133,0
500262,5004,ba,8a,H KO,0,0,1,9,1,27,9144,11,741202,741216,72,76,16,133,0
500263,5004,bb,8c,H SA,0,0,2,0,1,27,9144,11,741202,741216,72,76,16,133,0
500264,5004,bc,8d,H SI,0,0,2,1,1,27,9144,11,741202,741216,72,76,16,133,0
500265,5004,bd,8e,H SU,0,0,2,2,1,27,9144,11,741202,741216,72,76,16,133,0
500266,5004,be,ef,H SE,0,0,2,3,1,27,9144,11,741202,741216,72,76,16,133,0
500267,5004,bf,90,H SO,0,0,2,4,1,27,9144,11,741202,741216,72,76,16,133,0
500268,5004,c0,91,H TA,0,0,2,5,1,27,9144,11,741202,741216,72,76,16,133,0
500269,5004,c1,92,H TI,0,0,2,6,1,27,9144,11,741202,741216,72,76,16,133,0
500270,5004,c2,93,H TU,0,0,2,7,1,27,9144,11,741202,741216,72,76,16,133,0
500271,5004,c3,94,H TE,0,0,2,8,1,27,9144,11,741202,741216,72,76,16,133,0
500272,5004,c4,95,H TO,0,0,2,9,1,27,9144,11,741202,741216,72,76,16,133,0
500273,5004,c5,96,H NA,0,0,3,0,1,27,9144,11,741202,741216,72,76,16,133,0
500274,5004,c6,97,H NI,0,0,3,1,1,27,9144,11,741202,741216,72,76,16,133,0
500275,5004,c7,98,H NU,0,0,3,2,1,27,9144,11,741202,741216,72,76,16,133,0
500276,5004,c8,99,H NE,0,0,3,3,1,27,9144,11,741202,741216,72,76,16,133,0
500277,5004,c9,9a,H NO,0,0,3,4,1,27,9144,11,741202,741216,72,76,16,133,0
500278,5004,ca,9d,H HA,0,0,3,5,1,27,9144,11,741202,741216,72,76,16,133,0
500279,5004,cb,9e,H HI,0,0,3,6,1,27,9144,11,741202,741216,72,76,16,133,0
500280,5004,cc,9f,H HU,0,0,3,7,1,27,9144,11,741202,741216,72,76,16,133,0
500281,5004,cd,a2,H HE,0,0,3,8,1,27,9144,11,741202,741216,72,76,16,133,0
500282,5004,ce,a3,H HO,0,0,3,9,1,27,9144,11,741202,741216,72,76,16,133,0
500283,5004,cf,a4,H MA,0,0,4,0,1,27,9144,11,741202,741216,72,76,16,133,0
500284,5004,d0,a5,H MI,0,0,4,1,1,27,9144,11,741202,741216,72,76,16,133,0
500285,5004,d1,a6,H MU,0,0,4,2,1,27,9144,11,741202,741216,72,76,16,133,0
500286,5004,d2,a7,H ME,0,0,4,3,1,27,9144,11,741202,741216,72,76,16,133,0
500287,5004,d3,a8,H MO,0,0,4,4,1,27,9144,11,741202,741216,72,76,16,133,0
500288,5004,d4,a9,H YA,0,0,4,5,1,27,9144,11,741202,741216,72,76,16,133,0
500289,5004,b2,82,H YI,0,0,4,6,1,27,9144,11,741202,741216,72,76,16,133,0
500290,5004,d5,aa,H YU,0,0,4,7,1,27,9144,11,741202,741216,72,76,16,133,0
500291,5004,b4,84,H YE,0,0,4,8,1,27,9144,11,741202,741216,72,76,16,133,0
500292,5004,d6,ac,H YO,0,0,4,9,1,27,9144,11,741202,741216,72,76,16,133,0
500293,5004,d7,ad,H RA,0,0,5,0,1,27,9144,11,741202,741216,72,76,16,133,0
500294,5004,d8,ae,H RI,0,0,5,1,1,27,9144,11,741202,741216,72,76,16,133,0
500295,5004,d9,af,H RU,0,0,5,2,1,27,9144,11,741202,741216,72,76,16,133,0
500296,5004,da,ba,H RE,0,0,5,3,1,27,9144,11,741202,741216,72,76,16,133,0
500297,5004,db,bb,H RO,0,0,5,4,1,27,9144,11,741202,741216,72,76,16,133,0
500298,5004,dc,bc,H WA,0,0,5,5,1,27,9144,11,741202,741216,72,76,16,133,0
500299,5004,a8,7b,H WI,0,0,5,6,1,27,9144,11,741202,741216,72,76,16,133,0
500300,5004,b3,83,H WU,0,0,5,7,1,27,9144,11,741202,741216,72,76,16,133,0
500301,5004,aa,7a,H WE,0,0,5,8,1,27,9144,11,741202,741216,72,76,16,133,0
500302,5004,a6,6f,H WO,0,0,5,9,1,27,9144,11,741202,741216,72,76,16,133,0
500303,5004,dd,bd,H  N,0,0,6,0,1,27,9144,11,741202,741216,72,76,16,133,0
500304,5005,b1,81,H  A,0,0,1,0,1,24,9144,11,741202,741216,72,76,16,133,0
500305,5005,b2,82,H  I,0,0,1,1,1,24,9144,11,741202,741216,72,76,16,133,0
500306,5005,b3,83,H  U,0,0,1,2,1,24,9144,11,741202,741216,72,76,16,133,0
500307,5005,b4,84,H  E,0,0,1,3,1,24,9144,11,741202,741216,72,76,16,133,0
500308,5005,b5,85,H  O,0,0,1,4,1,24,9144,11,741202,741216,72,76,16,133,0
500309,5005,b6,86,H KA,0,0,1,5,1,24,9144,11,741202,741216,72,76,16,133,0
500310,5005,b7,87,H KI,0,0,1,6,1,24,9144,11,741202,741216,72,76,16,133,0
500311,5005,b8,88,H KU,0,0,1,7,1,24,9144,11,741202,741216,72,76,16,133,0
500312,5005,b9,89,H KE,0,0,1,8,1,24,9144,11,741202,741216,72,76,16,133,0
500313,5005,ba,8a,H KO,0,0,1,9,1,24,9144,11,741202,741216,72,76,16,133,0
500314,5005,bb,8c,H SA,0,0,2,0,1,24,9144,11,741202,741216,72,76,16,133,0
500315,5005,bc,8d,H SI,0,0,2,1,1,24,9144,11,741202,741216,72,76,16,133,0
500316,5005,bd,8e,H SU,0,0,2,2,1,24,9144,11,741202,741216,72,76,16,133,0
500317,5005,be,ef,H SE,0,0,2,3,1,24,9144,11,741202,741216,72,76,16,133,0
500318,5005,bf,90,H SO,0,0,2,4,1,24,9144,11,741202,741216,72,76,16,133,0
500319,5005,c0,91,H TA,0,0,2,5,1,24,9144,11,741202,741216,72,76,16,133,0
500320,5005,c1,92,H TI,0,0,2,6,1,24,9144,11,741202,741216,72,76,16,133,0
500321,5005,c2,93,H TU,0,0,2,7,1,24,9144,11,741202,741216,72,76,16,133,0
500322,5005,c3,94,H TE,0,0,2,8,1,24,9144,11,741202,741216,72,76,16,133,0
500323,5005,c4,95,H TO,0,0,2,9,1,24,9144,11,741202,741216,72,76,16,133,0
500324,5005,c5,96,H NA,0,0,3,0,1,24,9144,11,741202,741216,72,76,16,133,0
500325,5005,c6,97,H NI,0,0,3,1,1,24,9144,11,741202,741216,72,76,16,133,0
500326,5005,c7,98,H NU,0,0,3,2,1,24,9144,11,741202,741216,72,76,16,133,0
500327,5005,c8,99,H NE,0,0,3,3,1,24,9144,11,741202,741216,72,76,16,133,0
500328,5005,c9,9a,H NO,0,0,3,4,1,24,9144,11,741202,741216,72,76,16,133,0
500329,5005,ca,9d,H HA,0,0,3,5,1,24,9144,11,741202,741216,72,76,16,133,0
500330,5005,cb,9e,H HI,0,0,3,6,1,24,9144,11,741202,741216,72,76,16,133,0
500331,5005,cc,9f,H HU,0,0,3,7,1,24,9144,11,741202,741216,72,76,16,133,0
500332,5005,cd,a2,H HE,0,0,3,8,1,24,9144,11,741202,741216,72,76,16,133,0
500333,5005,ce,a3,H HO,0,0,3,9,1,24,9144,11,741202,741216,72,76,16,133,0
500334,5005,cf,a4,H MA,0,0,4,0,1,24,9144,11,741202,741216,72,76,16,133,0
500335,5005,d0,a5,H MI,0,0,4,1,1,24,9144,11,741202,741216,72,76,16,133,0
500336,5005,d1,a6,H MU,0,0,4,2,1,24,9144,11,741202,741216,72,76,16,133,0
500337,5005,d2,a7,H ME,0,0,4,3,1,24,9144,11,741202,741216,72,76,16,133,0
500338,5005,d3,a8,H MO,0,0,4,4,1,24,9144,11,741202,741216,72,76,16,133,0
500339,5005,d4,a9,H YA,0,0,4,5,1,24,9144,11,741202,741216,72,76,16,133,0
500340,5005,b2,82,H YI,0,0,4,6,1,24,9144,11,741202,741216,72,76,16,133,0
500341,5005,d5,aa,H YU,0,0,4,7,1,24,9144,11,741202,741216,72,76,16,133,0
500342,5005,b4,84,H YE,0,0,4,8,1,24,9144,11,741202,741216,72,76,16,133,0
500343,5005,d6,ac,H YO,0,0,4,9,1,24,9144,11,741202,741216,72,76,16,133,0
500344,5005,d7,ad,H RA,0,0,5,0,1,24,9144,11,741202,741216,72,76,16,133,0
500345,5005,d8,ae,H RI,0,0,5,1,1,24,9144,11,741202,741216,72,76,16,133,0
500346,5005,d9,af,H RU,0,0,5,2,1,24,9144,11,741202,741216,72,76,16,133,0
500347,5005,da,ba,H RE,0,0,5,3,1,24,9144,11,741202,741216,72,76,16,133,0
500348,5005,db,bb,H RO,0,0,5,4,1,24,9144,11,741202,741216,72,76,16,133,0
500349,5005,dc,bc,H WA,0,0,5,5,1,24,9144,11,741202,741216,72,76,16,133,0
500350,5005,a8,7b,H WI,0,0,5,6,1,24,9144,11,741202,741216,72,76,16,133,0
500351,5005,b3,83,H WU,0,0,5,7,1,24,9144,11,741202,741216,72,76,16,133,0
500352,5005,aa,7a,H WE,0,0,5,8,1,24,9144,11,741202,741216,72,76,16,133,0
500353,5005,a6,6f,H WO,0,0,5,9,1,24,9144,11,741202,741216,72,76,16,133,0
500354,5005,dd,bd,H  N,0,0,6,0,1,24,9144,11,741202,741216,72,76,16,133,0
500355,5006,b1,81,H  A,0,0,1,0,1,24,9144,11,741202,741216,72,76,16,133,0
500356,5006,b2,82,H  I,0,0,1,1,1,24,9144,11,741202,741216,72,76,16,133,0
500357,5006,b3,83,H  U,0,0,1,2,1,24,9144,11,741202,741216,72,76,16,133,0
500358,5006,b4,84,H  E,0,0,1,3,1,24,9144,11,741202,741216,72,76,16,133,0
500359,5006,b5,85,H  O,0,0,1,4,1,24,9144,11,741202,741216,72,76,16,133,0
500360,5006,b6,86,H KA,0,0,1,5,1,24,9144,11,741202,741216,72,76,16,133,0
500361,5006,b7,87,H KI,0,0,1,6,1,24,9144,11,741202,741216,72,76,16,133,0
500362,5006,b8,88,H KU,0,0,1,7,1,24,9144,11,741202,741216,72,76,16,133,0
500363,5006,b9,89,H KE,0,0,1,8,1,24,9144,11,741202,741216,72,76,16,133,0
500364,5006,ba,8a,H KO,0,0,1,9,1,24,9144,11,741202,741216,72,76,16,133,0
500365,5006,bb,8c,H SA,0,0,2,0,1,24,9144,11,741202,741216,72,76,16,133,0
500366,5006,bc,8d,H SI,0,0,2,1,1,24,9144,11,741202,741216,72,76,16,133,0
500367,5006,bd,8e,H SU,0,0,2,2,1,24,9144,11,741202,741216,72,76,16,133,0
500368,5006,be,ef,H SE,0,0,2,3,1,24,9144,11,741202,741216,72,76,16,133,0
500369,5006,bf,90,H SO,0,0,2,4,1,24,9144,11,741202,741216,72,76,16,133,0
500370,5006,c0,91,H TA,0,0,2,5,1,24,9144,11,741202,741216,72,76,16,133,0
500371,5006,c1,92,H TI,0,0,2,6,1,24,9144,11,741202,741216,72,76,16,133,0
500372,5006,c2,93,H TU,0,0,2,7,1,24,9144,11,741202,741216,72,76,16,133,0
500373,5006,c3,94,H TE,0,0,2,8,1,24,9144,11,741202,741216,72,76,16,133,0
500374,5006,c4,95,H TO,0,0,2,9,1,24,9144,11,741202,741216,72,76,16,133,0
500375,5006,c5,96,H NA,0,0,3,0,1,24,9144,11,741202,741216,72,76,16,133,0
500376,5006,c6,97,H NI,0,0,3,1,1,24,9144,11,741202,741216,72,76,16,133,0
500377,5006,c7,98,H NU,0,0,3,2,1,24,9144,11,741202,741216,72,76,16,133,0
500378,5006,c8,99,H NE,0,0,3,3,1,24,9144,11,741202,741216,72,76,16,133,0
500379,5006,c9,9a,H NO,0,0,3,4,1,24,9144,11,741202,741216,72,76,16,133,0
